,Link,Code,For_rent_sale,Price,Area,Floor,Rooms,Dates
0,https://akcern.am/en/property/19358,Code - 361116,For sale,"95,000 USD",'Total area 88 m 2','Floor 5','Count of rooms 3',07.07.2021
1,https://akcern.am/en/property/9867,Code - 358933,For sale,"78,000 USD",'Total area 90 m 2','Floor 2','Count of rooms 3',07.07.2021
2,https://akcern.am/en/property/19279,Code - 161036,For sale,"32,000 USD",'Total area 40 m 2','Floor 8','Count of rooms 1',07.07.2021
3,https://akcern.am/en/property/7196,Code - 32056,For sale,"130,000 USD",'Total area 91 m 2','Floor 6','Count of rooms 3',07.07.2021
4,https://akcern.am/en/property/4975,Code - 20566,For rent,"1,300 USD",'Total area 72 m 2','Floor 2','Count of rooms 2',07.07.2021
5,https://akcern.am/en/property/19182,Code - 360937,For sale,"73,000 USD",'Total area 58 m 2','Floor 5','Count of rooms 3',07.07.2021
6,https://akcern.am/en/property/4811,Code - 10388,For rent,350 USD,'Total area 27 m 2','Floor 3','Count of rooms 1',07.07.2021
7,https://akcern.am/en/property/7029,Code - 80300,For sale,"1,500,000 USD",'Total area 370 m 2','Floor 16','Count of rooms 3',07.07.2021
8,https://akcern.am/en/property/7332,Code - 80304,For sale,"200,000 USD",'Total area 140 m 2','Floor 2','Count of rooms 5',07.07.2021
9,https://akcern.am/en/property/16523,Code - 10378,For rent,300 USD,'Total area 39 m 2','Floor ','Count of rooms 1',07.07.2021
10,https://akcern.am/en/property/7750,Code - 32920,For sale,"63,000 USD",'Total area 79 m 2','Floor 1','Count of rooms 3',07.07.2021
11,https://akcern.am/en/property/19065,Code - 260819,For sale,"77,000 USD",'Total area 68 m 2','Floor 7','Count of rooms 2',07.07.2021
12,https://akcern.am/en/property/7863,Code - 11047,For sale,"88,000 USD",'Total area 40 m 2','Floor 4','Count of rooms 1',07.07.2021
13,https://akcern.am/en/property/19210,Code - 260965,For sale,"58,000 USD",'Total area 78 m 2','Floor 14','Count of rooms 2',07.07.2021
14,https://akcern.am/en/property/10257,Code - 359310,For sale,"65,000 USD",'Total area 84 m 2','Floor 13','Count of rooms 3',07.07.2021
15,https://akcern.am/en/property/7938,Code - 22094,For sale,"80,000 USD",'Total area 63 m 2','Floor 4','Count of rooms 2',07.07.2021
16,https://akcern.am/en/property/19026,Code - 260781,For rent,380 USD,'Total area 63 m 2','Floor 4','Count of rooms 2',07.07.2021
17,https://akcern.am/en/property/19355,Code - 861113,For rent,600 USD,'Total area 98 m 2','Floor 1','Count of rooms 3',07.07.2021
18,https://akcern.am/en/property/10058,Code - 359520,For sale,"550,000 USD",'Total area 138 m 2','Floor 13','Count of rooms 3',07.07.2021
19,https://akcern.am/en/property/5054,Code - 20570,For rent,700 USD,'Total area 58 m 2','Floor 4','Count of rooms 2',07.07.2021
20,https://akcern.am/en/property/11846,Code - 259058,For rent,600 USD,'Total area 79 m 2','Floor 8','Count of rooms 2',07.07.2021
21,https://akcern.am/en/property/18849,Code - 360613,For sale,"73,000 USD",'Total area 81 m 2','Floor 7','Count of rooms 3',07.07.2021
22,https://akcern.am/en/property/7688,Code - 30864,For rent,"1,600 USD",'Total area 138 m 2','Floor 13','Count of rooms 3',07.07.2021
23,https://akcern.am/en/property/19027,Code - 160782,For sale,"62,000 USD",'Total area 40 m 2','Floor 2','Count of rooms 1',07.07.2021
24,https://akcern.am/en/property/5635,Code - 11007,For sale,"80,000 USD",'Total area 34 m 2','Floor 5','Count of rooms 1',07.07.2021
25,https://akcern.am/en/property/4044,Code - 32726,For sale,"68,000 USD",'Total area 80 m 2','Floor 6','Count of rooms 3',07.07.2021
26,https://akcern.am/en/property/15734,Code - 30643,For rent,350 USD,'Total area 110 m 2','Floor 4','Count of rooms 3',06.07.2021
27,https://akcern.am/en/property/5333,Code - 10411,For rent,270 USD,'Total area 45 m 2','Floor 5','Count of rooms 1',06.07.2021
28,https://akcern.am/en/property/2932,Code - 10341,For rent,400 USD,'Total area 45 m 2','Floor 3','Count of rooms 1',06.07.2021
29,https://akcern.am/en/property/151,Code - 10193,For rent,650 USD,'Total area 39 m 2','Floor 4','Count of rooms 1',06.07.2021
30,https://akcern.am/en/property/18826,Code - 260584,For sale,"70,000 USD",'Total area 67 m 2','Floor 5','Count of rooms 2',06.07.2021
31,https://akcern.am/en/property/6206,Code - 22133,For sale,"200,000 USD",'Total area 72 m 2','Floor 2','Count of rooms 2',06.07.2021
32,https://akcern.am/en/property/11026,Code - 30595,For rent,500 USD,'Total area 75 m 2','Floor 3','Count of rooms 3',06.07.2021
33,https://akcern.am/en/property/8935,Code - 22656,For sale,"130,000 USD",'Total area 66 m 2','Floor 8','Count of rooms 2',06.07.2021
34,https://akcern.am/en/property/18893,Code - 360655,For sale,"68,000 USD",'Total area 73 m 2','Floor 3','Count of rooms 3',06.07.2021
35,https://akcern.am/en/property/12036,Code - 260091,For sale,"100,000 USD",'Total area 79 m 2','Floor 8','Count of rooms 2',06.07.2021
36,https://akcern.am/en/property/9634,Code - 158623,For sale,"53,000 USD",'Total area 47 m 2','Floor 6','Count of rooms 1',06.07.2021
37,https://akcern.am/en/property/19289,Code - 261046,For sale,"67,000 USD",'Total area 49 m 2','Floor 7','Count of rooms 2',06.07.2021
38,https://akcern.am/en/property/19261,Code - 461022,For sale,"155,000 USD",'Total area 114 m 2','Floor 4','Count of rooms 4',06.07.2021
39,https://akcern.am/en/property/18919,Code - 160684,For sale,"135,000 USD",'Total area 37 m 2','Floor 2','Count of rooms 1',06.07.2021
40,https://akcern.am/en/property/7829,Code - 22170,For sale,"70,000 USD",'Total area 73 m 2','Floor 12','Count of rooms 2',06.07.2021
41,https://akcern.am/en/property/2953,Code - 20820,For sale,"185,000 USD",'Total area 45 m 2','Floor 2','Count of rooms 2',06.07.2021
42,https://akcern.am/en/property/19350,Code - 361108,For sale,"410,000 USD",'Total area 116 m 2','Floor 5','Count of rooms 3',06.07.2021
43,https://akcern.am/en/property/3064,Code - 30769,For rent,800 USD,'Total area 120 m 2','Floor 14','Count of rooms 3',06.07.2021
44,https://akcern.am/en/property/16539,Code - 20604,For rent,300 USD,'Total area 59 m 2','Floor 5','Count of rooms 2',06.07.2021
45,https://akcern.am/en/property/19024,Code - 460779,For sale,"195,000 USD",'Total area 107 m 2','Floor 2','Count of rooms 4',06.07.2021
46,https://akcern.am/en/property/9659,Code - 358661,For sale,"165,000 USD",'Total area 130 m 2','Floor 11','Count of rooms 3',05.07.2021
47,https://akcern.am/en/property/11711,Code - 360009,For sale,"125,000 USD",'Total area 100 m 2','Floor 8','Count of rooms 3',05.07.2021
48,https://akcern.am/en/property/19346,Code - 461104,For rent,"2,500 USD",'Total area 169 m 2','Floor 5','Count of rooms 4',05.07.2021
49,https://akcern.am/en/property/19345,Code - 461103,For rent,"2,500 USD",'Total area 174 m 2','Floor 5','Count of rooms 4',05.07.2021
50,https://akcern.am/en/property/19344,Code - 461102,For sale,"1,000,000 USD",'Total area 169 m 2','Floor 5','Count of rooms 4',05.07.2021
51,https://akcern.am/en/property/18815,Code - 260571,For sale,"65,000 USD",'Total area 67 m 2','Floor 8','Count of rooms 2',05.07.2021
52,https://akcern.am/en/property/19343,Code - 461101,For sale,"1,000,000 USD",'Total area 174 m 2','Floor 5','Count of rooms 4',05.07.2021
53,https://akcern.am/en/property/13688,Code - 359115,For sale,"59,000 USD",'Total area 78 m 2','Floor 4','Count of rooms 3',05.07.2021
54,https://akcern.am/en/property/11113,Code - 21124,For sale,"130,000 USD",'Total area 77 m 2','Floor 2','Count of rooms 2',05.07.2021
